"User","Count","URLs"
"tdonohue",6,"https://github.com/DSpace/DSpace/pull/2094;https://github.com/DSpace/DSpace/pull/2093;https://github.com/DSpace/DSpace/pull/2092;https://github.com/DSpace/DSpace/pull/2091;https://github.com/DSpace/DSpace/pull/2090;https://github.com/DSpace/DSpace/pull/2079"
"kshepherd",4,"https://github.com/DSpace/DSpace/pull/2100;https://github.com/DSpace/DSpace/pull/2099;https://github.com/DSpace/DSpace/pull/2097;https://github.com/DSpace/DSpace/pull/2096"
"AndrewZWood",2,"https://github.com/DSpace/DSpace/pull/2081;https://github.com/DSpace/DSpace/pull/2080"
"PhilipVis",2,"https://github.com/DSpace/DSpace/pull/2075;https://github.com/DSpace/DSpace/pull/2074"
"abollini",2,"https://github.com/DSpace/DSpace/pull/2077;https://github.com/DSpace/DSpace/pull/2073"
"jsavell",1,"https://github.com/DSpace/DSpace/pull/2078"
"mwoodiupui",1,"https://github.com/DSpace/DSpace/pull/2082"
"lap82",1,"https://github.com/DSpace/DSpace/pull/2103"
"santit96",1,"https://github.com/DSpace/DSpace/pull/2076"
"atarix83",1,"https://github.com/DSpace/dspace-angular/pull/275"
"LotteHofstede",1,"https://github.com/DSpace/dspace-angular/pull/276"
"ItsNotYou",1,"https://github.com/DSpace/DSpace/pull/2095"
"jmarton",1,"https://github.com/DSpace/DSpace/pull/2104"
